path,name,type,size,category
/Volumes/资料数据/高清实拍素材/1.精典元素实拍Our classic elements/城市车水马龙Heavy traffic city/城市时间流逝1.mov,城市时间流逝1.mov,.mov,225.55,"['/Volumes/资料数据/高清实拍素材/1.精典元素实拍Our classic elements', '城市车水马龙Heavy traffic city']"
/Volumes/资料数据/高清实拍素材/1.精典元素实拍Our classic elements/城市车水马龙Heavy traffic city/城市时间流逝2.mov,城市时间流逝2.mov,.mov,223.2,"['/Volumes/资料数据/高清实拍素材/1.精典元素实拍Our classic elements', '城市车水马龙Heavy traffic city']"
/Volumes/资料数据/高清实拍素材/1.精典元素实拍Our classic elements/城市车水马龙Heavy traffic city/城市时间流逝3.mov,城市时间流逝3.mov,.mov,262.12,"['/Volumes/资料数据/高清实拍素材/1.精典元素实拍Our classic elements', '城市车水马龙Heavy traffic city']"
/Volumes/资料数据/高清实拍素材/1.精典元素实拍Our classic elements/城市车水马龙Heavy traffic city/城市时间流逝4.mov,城市时间流逝4.mov,.mov,334.23,"['/Volumes/资料数据/高清实拍素材/1.精典元素实拍Our classic elements', '城市车水马龙Heavy traffic city']"
/Volumes/资料数据/高清实拍素材/1.精典元素实拍Our classic elements/城市车水马龙Heavy traffic city/城市时间流逝5.mov,城市时间流逝5.mov,.mov,260.89,"['/Volumes/资料数据/高清实拍素材/1.精典元素实拍Our classic elements', '城市车水马龙Heavy traffic city']"
/Volumes/资料数据/高清实拍素材/1.精典元素实拍Our classic elements/城市车水马龙Heavy traffic city/城市时间流逝6.mov,城市时间流逝6.mov,.mov,260.09,"['/Volumes/资料数据/高清实拍素材/1.精典元素实拍Our classic elements', '城市车水马龙Heavy traffic city']"
/Volumes/资料数据/高清实拍素材/1.精典元素实拍Our classic elements/城市车水马龙Heavy traffic city/城市时间流逝7.mov,城市时间流逝7.mov,.mov,266.23,"['/Volumes/资料数据/高清实拍素材/1.精典元素实拍Our classic elements', '城市车水马龙Heavy traffic city']"
/Volumes/资料数据/高清实拍素材/1.精典元素实拍Our classic elements/城市车水马龙Heavy traffic city/城市时间流逝8.mov,城市时间流逝8.mov,.mov,306.88,"['/Volumes/资料数据/高清实拍素材/1.精典元素实拍Our classic elements', '城市车水马龙Heavy traffic city']"
/Volumes/资料数据/高清实拍素材/1.精典元素实拍Our classic elements/城市车水马龙Heavy traffic city/城市时间流逝9.mov,城市时间流逝9.mov,.mov,307.64,"['/Volumes/资料数据/高清实拍素材/1.精典元素实拍Our classic elements', '城市车水马龙Heavy traffic city']"
/Volumes/资料数据/高清实拍素材/1.精典元素实拍Our classic elements/城市车水马龙Heavy traffic city/城市车水马龙10.mov,城市车水马龙10.mov,.mov,322.23,"['/Volumes/资料数据/高清实拍素材/1.精典元素实拍Our classic elements', '城市车水马龙Heavy traffic city']"
/Volumes/资料数据/高清实拍素材/1.精典元素实拍Our classic elements/城市车水马龙Heavy traffic city/城市车水马龙11.mov,城市车水马龙11.mov,.mov,322.71,"['/Volumes/资料数据/高清实拍素材/1.精典元素实拍Our classic elements', '城市车水马龙Heavy traffic city']"
/Volumes/资料数据/高清实拍素材/1.精典元素实拍Our classic elements/城市车水马龙Heavy traffic city/城市车水马龙12.mov,城市车水马龙12.mov,.mov,281.03,"['/Volumes/资料数据/高清实拍素材/1.精典元素实拍Our classic elements', '城市车水马龙Heavy traffic city']"
/Volumes/资料数据/高清实拍素材/1.精典元素实拍Our classic elements/城市车水马龙Heavy traffic city/城市车水马龙13.mov,城市车水马龙13.mov,.mov,370.42,"['/Volumes/资料数据/高清实拍素材/1.精典元素实拍Our classic elements', '城市车水马龙Heavy traffic city']"
